Unix Timestamp: 1724326612.6000302, Key.space press
Unix Timestamp: 1724326612.6483834, Key.space release
Unix Timestamp: 1724326612.664355, e release
Unix Timestamp: 1724326613.080709, p press
Unix Timestamp: 1724326613.1442175, p release
Unix Timestamp: 1724326613.256513, l press
Unix Timestamp: 1724326613.319522, l release
Unix Timestamp: 1724326613.4319606, a press
Unix Timestamp: 1724326613.5759542, a release
Unix Timestamp: 1724326613.6886044, c press
Unix Timestamp: 1724326613.752273, c release
Unix Timestamp: 1724326613.8323424, e press
Unix Timestamp: 1724326613.9121692, Key.space press
Unix Timestamp: 1724326613.9445612, e release
Unix Timestamp: 1724326613.9609294, Key.space release
Unix Timestamp: 1724326614.456134, i press
Unix Timestamp: 1724326614.5201116, i release
Unix Timestamp: 1724326614.6645887, n press
Unix Timestamp: 1724326614.696295, n release
Unix Timestamp: 1724326614.8243392, Key.space press
Unix Timestamp: 1724326614.8714712, Key.space release
Unix Timestamp: 1724326615.0165603, a press
Unix Timestamp: 1724326615.1127708, a release
Unix Timestamp: 1724326615.1134164, Key.space press
Unix Timestamp: 1724326615.159983, Key.space release
Unix Timestamp: 1724326615.704309, p press
Unix Timestamp: 1724326615.7679274, p release
Unix Timestamp: 1724326616.0885623, r press
Unix Timestamp: 1724326616.1357813, o press
Unix Timestamp: 1724326616.2007337, r release
Unix Timestamp: 1724326616.2007337, o release
Unix Timestamp: 1724326616.4089048, j press
Unix Timestamp: 1724326616.4563856, j release
Unix Timestamp: 1724326616.6003335, e press
Unix Timestamp: 1724326616.728398, e release
Unix Timestamp: 1724326617.0167413, c press
Unix Timestamp: 1724326617.0488157, t press
Unix Timestamp: 1724326617.1278732, c release
Unix Timestamp: 1724326617.144184, t release
Unix Timestamp: 1724326619.4965365, Key.space press
Unix Timestamp: 1724326619.5601895, Key.space release
Unix Timestamp: 1724326624.3598044, a press
Unix Timestamp: 1724326624.423904, b press
Unix Timestamp: 1724326624.4564013, a release
Unix Timestamp: 1724326624.4883711, b release
Unix Timestamp: 1724326624.8568103, o press
Unix Timestamp: 1724326624.9358523, o release
Unix Timestamp: 1724326625.096525, u press
Unix Timestamp: 1724326625.1608648, u release
Unix Timestamp: 1724326625.6406915, t press
Unix Timestamp: 1724326625.7038136, t release
Unix Timestamp: 1724326625.9604318, Key.space press
Unix Timestamp: 1724326626.0245092, Key.space release
Unix Timestamp: 1724326626.7762122, l press
Unix Timestamp: 1724326626.840217, l release
Unix Timestamp: 1724326626.9685557, i press
Unix Timestamp: 1724326627.0162725, i release
Unix Timestamp: 1724326627.1921897, t press
Unix Timestamp: 1724326627.255784, t release
Unix Timestamp: 1724326627.3044004, e press
Unix Timestamp: 1724326627.3686266, r press
Unix Timestamp: 1724326627.449076, e release
Unix Timestamp: 1724326627.5446713, r release
Unix Timestamp: 1724326627.848232, t press
Unix Timestamp: 1724326627.895875, a press
Unix Timestamp: 1724326627.9128783, t release
Unix Timestamp: 1724326627.976177, a release
Unix Timestamp: 1724326629.288205, Key.backspace press
Unix Timestamp: 1724326629.3683903, Key.backspace release
Unix Timestamp: 1724326629.7202039, Key.backspace press
Unix Timestamp: 1724326629.7520962, Key.backspace release
Unix Timestamp: 1724326630.3127522, a press
Unix Timestamp: 1724326630.4084172, t press
