Timestamp,Type,Action,Key,Flight Time
2024-08-07 16:04:35.253780365,0,,press,2.415627241
2024-08-07 16:04:35.318273306,0,,release,0.064492941
2024-08-07 16:04:35.398016930,u,,press,0.079743624
2024-08-07 16:04:35.509978532,u,,release,0.111961602
2024-08-07 16:04:35.542974234,p,,press,0.032995702
2024-08-07 16:04:35.638125658,p,,release,0.095151424
2024-08-07 16:04:35.893947840,Key.backspace,,press,0.255822182
2024-08-07 16:04:35.957978725,Key.backspace,,release,0.064030885
2024-08-07 16:04:36.069899082,Key.backspace,,press,0.111920357
2024-08-07 16:04:36.117375135,Key.backspace,,release,0.047476053
2024-08-07 16:04:36.213886261,Key.backspace,,press,0.096511126
2024-08-07 16:04:36.294206381,Key.backspace,,release,0.08032012
2024-08-07 16:04:36.501970530,Key.space,,press,0.207764149
2024-08-07 16:04:36.614069700,Key.space,,release,0.11209917
2024-08-07 16:04:36.758270502,u,,press,0.144200802
2024-08-07 16:04:36.822018385,u,,release,0.063747883
2024-08-07 16:04:36.823018551,p,,press,0.001000166
2024-08-07 16:04:36.933933258,p,,release,0.110914707
2024-08-07 16:04:36.965912342,Key.space,,press,0.031979084
2024-08-07 16:04:37.077906132,Key.space,,release,0.11199379
2024-08-07 16:04:37.622031689,r,,press,0.544125557
2024-08-07 16:04:37.686071873,e,,press,0.064040184
2024-08-07 16:04:37.702130079,r,,release,0.016058206
2024-08-07 16:04:37.765707731,e,,release,0.063577652
2024-08-07 16:04:38.022494793,a,,press,0.256787062
2024-08-07 16:04:38.102215767,a,,release,0.079720974
2024-08-07 16:04:38.149790287,d,,press,0.04757452
2024-08-07 16:04:38.165791035,d,,release,0.016000748
2024-08-07 16:04:38.662348747,i,,press,0.496557712
2024-08-07 16:04:38.677754641,n,,press,0.015405894
2024-08-07 16:04:38.726478577,i,,release,0.048723936
2024-08-07 16:04:38.838082075,n,,release,0.111603498
2024-08-07 16:04:38.902089834,g,,press,0.064007759
2024-08-07 16:04:38.966064930,g,,release,0.063975096
2024-08-07 16:04:39.285920620,Key.space,,press,0.31985569
2024-08-07 16:04:39.429793358,Key.space,,release,0.143872738
2024-08-07 16:04:39.925918818,a,,press,0.49612546
2024-08-07 16:04:40.021788836,n,,press,0.095870018
2024-08-07 16:04:40.038340330,a,,release,0.016551494
2024-08-07 16:04:40.101498604,n,,release,0.063158274
2024-08-07 16:04:40.134091377,d,,press,0.032592773
2024-08-07 16:04:40.213940382,Key.space,,press,0.079849005
2024-08-07 16:04:40.229973316,d,,release,0.016032934
2024-08-07 16:04:40.309546709,Key.space,,release,0.079573393
2024-08-07 16:04:40.645514965,d,,press,0.335968256
2024-08-07 16:04:40.758070469,d,,release,0.112555504
2024-08-07 16:04:40.759077311,i,,press,0.001006842
2024-08-07 16:04:40.870450497,i,,release,0.111373186
2024-08-07 16:04:40.886017799,s,,press,0.015567302
2024-08-07 16:04:40.966436863,s,,release,0.080419064
2024-08-07 16:04:41.093749523,c,,press,0.12731266
2024-08-07 16:04:41.157932043,c,,release,0.06418252
2024-08-07 16:04:41.189698935,o,,press,0.031766892
2024-08-07 16:04:41.301752567,o,,release,0.112053632
2024-08-07 16:04:41.303751230,r,,press,0.001998663
2024-08-07 16:04:41.381278276,r,,release,0.077527046
